Time (msec);Timing Advance (degrees);PLX Engine Speed (rpm);PLX Manifold Absolute Pressure (bar);PLX O2 - Wideband (Lambda)
0;14,00;860;0,38;0,98
198;12,00;841;0,37;0,97
396;14,00;860;0,37;0,98
598;13,00;860;0,37;0,98
796;17,00;841;0,37;0,98
994;14,00;841;0,38;0,98
1191;14,50;860;0,37;0,99
1394;14,50;841;0,37;1,00
1568;12,00;841;0,37;1,01
1764;14,00;860;0,38;1,00
1963;14,00;841;0,37;0,99
2174;12,00;841;0,37;0,99
2371;12,00;860;0,37;0,99
2568;13,50;860;0,37;0,98
2769;13,50;860;0,37;0,98
2966;13,50;841;0,37;0,98
3171;12,50;880;0,39;0,99
3369;21,00;1056;0,45;0,99
3567;28,50;1329;0,45;0,92
3766;31,00;1486;0,45;0,93
3966;31,50;1525;0,41;1,04
4141;31,50;1486;0,43;1,05
4322;30,50;1388;0,43;1,01
4519;29,50;1290;0,45;0,97
4694;28,00;1212;0,48;0,98
4894;27,50;1153;0,53;0,95
5089;27,00;1153;0,57;0,95
5287;27,50;1232;0,54;0,96
5482;28,50;1349;0,52;0,97
5683;26,50;1310;0,37;1,00
5881;16,50;1388;0,29;1,04
6055;15,50;1271;0,26;1,09
6241;20,00;1153;0,28;1,07
6438;19,50;1056;0,29;1,07
6636;19,00;978;0,30;1,04
6810;19,00;938;0,32;1,00
7013;19,00;899;0,33;0,97
7184;19,00;880;0,34;0,97
7381;19,00;841;0,36;0,95
7578;19,00;860;0,37;0,94
7776;19,00;841;0,36;0,93
7977;19,00;860;0,37;0,93
8160;19,00;860;0,36;0,93
8336;19,00;880;0,37;0,95
8532;17,50;841;0,35;0,95
8730;19,00;860;0,37;0,95
8928;15,50;880;0,36;0,97
9127;15,00;841;0,36;0,98
9299;14,50;860;0,36;0,99
9498;18,50;821;0,37;0,99
9695;14,50;860;0,36;1,00
9891;14,00;860;0,36;1,01
10083;18,00;841;0,36;1,00
10284;13,50;860;0,37;0,99
10479;13,50;860;0,37;0,99
10679;14,00;841;0,36;0,98
10878;16,50;841;0,36;0,98
11073;11,50;860;0,36;0,98
11271;10,00;880;0,36;0,98
11447;15,00;958;0,40;0,99
11648;27,00;1466;0,46;0,99
11846;31,50;1564;0,48;0,94
12021;29,50;1368;0,48;1,03
12222;31,00;1642;0,48;1,04
12420;31,00;1642;0,51;0,97
12618;33,50;1720;0,48;0,98
12818;34,00;1799;0,49;0,98
13023;35,00;1857;0,48;1,00
13221;36,50;1975;0,45;0,97
13415;37,50;2072;0,45;0,99
13615;38,00;2170;0,48;1,02
13810;37,50;2307;0,52;0,96
14009;35,50;2463;0,58;0,95
14186;36,00;2639;0,66;0,96
14385;38,00;2854;0,70;0,96
14586;37,50;3050;0,70;0,97
14781;38,50;3245;0,72;0,97
14978;38,50;3441;0,64;0,99
15154;42,50;3460;0,39;0,97
15333;34,00;3441;0,19;0,87
15532;24,00;2991;0,13;0,86
15730;24,00;2600;0,16;0,94
15927;22,50;2229;0,19;1,11
16128;24,00;1916;0,26;1,36
16332;39,50;2268;0,52;1,25
16528;30,00;2346;0,74;0,97
16726;27,00;2444;0,86;0,96
16924;27,50;2561;0,94;0,95
17125;27,50;2698;0,95;1,02
17322;28,00;2835;0,96;0,97
17497;28,00;2972;0,99;0,97
17719;28,50;3148;0,92;0,97
17919;29,00;3324;0,96;0,90
18115;29,00;3460;1,00;0,91
18315;28,50;3617;1,05;0,89
18513;27,50;3812;1,10;0,89
18713;27,50;3988;1,13;0,87
18910;27,50;4184;1,15;0,85
19086;23,00;4360;1,21;0,81
19285;24,00;4536;1,04;0,73
19480;31,00;4321;0,33;0,72
19681;37,00;3812;0,18;0,95
19879;24,00;3382;0,17;0,88
20077;24,00;3069;0,16;0,81
20279;26,00;2620;0,20;1,20
20481;43,50;2991;0,32;0,98
20680;41,00;3069;0,36;0,81
20853;40,00;3128;0,52;0,97
21053;37,50;3148;0,68;0,94
21250;37,50;3167;0,75;0,93
21447;35,50;3245;0,86;0,97
21647;34,50;3284;0,84;0,97
21845;34,50;3343;0,89;1,00
22044;34,50;3421;0,87;0,96
22240;40,50;3441;0,46;0,90
22446;42,00;3324;0,21;0,85
22644;24,00;2972;0,16;0,94
22844;24,00;2581;0,16;0,95
23017;22,00;2209;0,20;1,26
23215;20,50;2053;0,22;1,36
23413;20,50;2131;0,22;1,36
23610;21,50;2346;0,22;1,36
23811;23,50;2600;0,19;1,36
23984;23,50;2581;0,19;1,36
24187;24,00;2600;0,19;1,36
24362;23,50;2600;0,19;1,36
24560;23,50;2600;0,19;1,36
24768;23,50;2600;0,19;1,36
24968;23,50;2581;0,19;1,36
25165;23,50;2600;0,19;1,36
25363;23,50;2600;0,19;1,36
25561;23,50;2581;0,19;1,36
25762;23,50;2581;0,18;1,36
25958;23,50;2581;0,18;1,36
26156;23,50;2561;0,18;1,36
26355;23,50;2561;0,20;1,36
26560;23,50;2542;0,19;1,36
26732;23,50;2542;0,18;1,36
26935;23,50;2522;0,19;1,36
27110;23,50;2522;0,19;1,36
27289;23,00;2502;0,21;1,36
27494;23,00;2483;0,21;1,36
27667;23,00;2463;0,19;1,36
27869;23,00;2444;0,19;1,36
28042;22,50;2424;0,20;1,36
28217;22,50;2424;0,19;1,36
28388;22,50;2405;0,20;1,36
28568;22,50;2385;0,20;1,36
28771;22,50;2366;0,21;1,36
28967;22,00;2346;0,21;1,36
29164;22,00;2326;0,21;1,36
29359;22,00;2326;0,21;1,36
29558;22,00;2326;0,21;1,36
29758;22,00;2307;0,21;1,36
29955;22,00;2307;0,21;1,36
30132;22,00;2307;0,21;1,36
30329;22,00;2307;0,21;1,36
30530;22,00;2307;0,20;1,36
30727;22,00;2287;0,21;1,36
30924;22,00;2287;0,21;1,36
31122;22,00;2287;0,21;1,36
31296;22,00;2287;0,22;1,36
31494;22,00;2287;0,22;1,36
31692;22,00;2287;0,21;1,36
31890;22,00;2287;0,22;1,36
32087;22,00;2287;0,20;1,36
32283;22,00;2268;0,21;1,36
32480;21,50;2268;0,21;1,36
32656;21,50;2268;0,21;1,36
32852;21,50;2268;0,20;1,36
33048;21,50;2268;0,22;1,36
33230;21,50;2268;0,21;1,36
33431;21,50;2268;0,21;1,36
33605;21,50;2268;0,22;1,36
33805;21,50;2248;0,22;1,36
34002;21,50;2248;0,21;1,36
34201;21,50;2248;0,21;1,36
34374;21,50;2229;0,21;1,36
34573;21,50;2229;0,21;1,36
34773;21,50;2229;0,22;1,36
34950;21,50;2229;0,22;1,36
35149;21,50;2229;0,22;1,36
35347;21,50;2209;0,21;1,36
35545;21,50;2209;0,21;1,36
35742;21,50;2190;0,21;1,36
35915;21,00;2190;0,21;1,36
36114;21,00;2170;0,21;1,36
36292;21,00;2170;0,21;1,36
36493;21,00;2150;0,22;1,36
36690;21,00;2150;0,22;1,36
36886;21,00;2150;0,22;1,36
37084;21,00;2131;0,22;1,36
37262;20,50;2111;0,22;1,36
37460;20,50;2111;0,22;1,36
37659;20,50;2092;0,23;1,36
37834;20,50;2072;0,22;1,36
38032;20,50;2072;0,22;1,36
38231;20,50;2053;0,22;1,36
38406;20,50;2033;0,20;1,36
38606;20,00;2033;0,22;1,36
