RUNTIME,RPM,MPH,MAP,PSI,BRO,VAC,VE%,TPS,CTS,IAT,I/C,O2,G/S,SA,Rt,KnkCt,sPW,aPW,DC%,Sf,Ay,Ae,De,Id,Hw,Pe,Dc,Cl,Ln,Fn,Ac,Tc,Cp,Eg,Gr,Cl,INT,BLM,BPC,IAC,AFR,WB,dTPS,tpsAE,dMAP,mapAE,aePW,WB_0,
00:00:00,   0,  0, 98,  0, 98,  0, 72,  0, 72, 69, 72, 451,  0,10, 0,    0,45.258, 0.00,  0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140,112, 3.3,19.6, 0.0, 0.000, 0.0, 0.000,20.508,19.6,
00:01:53, 775,  0, 35,  0, 98, 63, 38,  0,100, 69, 99, 743, 17,25, 0,    0, 1.587, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.0, 0.000, 0.000,13.1,
00:01:53, 775,  0, 35,  0, 98, 63, 37,  0,100, 69, 99, 743, 17,25, 0,    0, 1.587, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.0, 0.000, 0.000,13.1,
00:01:53, 775,  0, 35,  0, 98, 63, 39,  0,100, 69, 99, 743, 17,25, 0,    0, 1.617, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.0, 0.000, 0.000,13.1,
00:01:53, 762,  0, 35,  0, 98, 63, 38,  0,100, 69, 99, 743, 16,26, 0,    0, 1.587, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.2, 0.0, 0.000, 0.6, 0.000, 0.000,13.2,
00:01:53, 750,  0, 35,  0, 98, 63, 38,  0,100, 69, 99, 743, 17,28, 0,    0, 1.587, 0.00,  3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.0, 0.000, 0.000,13.1,
00:01:53, 762,  0, 35,  0, 98, 63, 38,  0,100, 69, 99, 743, 17,26, 0,    0, 1.617, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.0, 0.000, 0.000,13.1,
00:01:53, 750,  0, 35,  0, 98, 63, 39,  0,100, 69, 99, 747, 17,28, 0,    0, 1.648, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.2, 0.0, 0.000, 0.6, 0.000, 0.000,13.2,
00:01:53, 750,  0, 35,  0, 98, 63, 39,  0,100, 69, 99, 743, 18,28, 0,    0, 1.617, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.6, 0.000, 0.000,13.1,
00:01:53, 737,  0, 35,  0, 98, 63, 38,  0,100, 69, 99, 734, 17,28, 0,    0, 1.648, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.0, 0.000, 0.000,13.1,
00:01:53, 762,  0, 36,  0, 98, 62, 39,  0,100, 69, 99, 747, 17,26, 0,    0, 1.678, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.9, 0.000, 0.000,13.1,
00:01:53, 775,  0, 35,  0, 98, 63, 38,  0,100, 69, 99, 743, 17,25, 0,    0, 1.617, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.6, 0.000, 0.000,13.1,
00:01:53, 762,  0, 35,  0, 98, 63, 38,  0,100, 69, 99, 743, 16,26, 0,    0, 1.648, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.0, 0.000, 0.000,13.1,
00:01:53, 737,  0, 35,  0, 98, 63, 40,  0,100, 69, 99, 743, 18,28, 0,    0, 1.678, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.6, 0.000, 0.000,13.1,
00:01:53, 762,  0, 35,  0, 98, 63, 39,  0,100, 69, 99, 743, 17,26, 0,    0, 1.648, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.6, 0.000, 0.000,13.1,
00:01:53, 737,  0, 36,  0, 98, 62, 38,  0,100, 69, 99, 747, 16,28, 0,    0, 1.587, 0.00,  3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.0, 0.0, 0.000, 0.9, 0.000, 0.000,13.0,
00:01:54, 750,  0, 35,  0, 98, 63, 40,  0,100, 69, 99, 738, 18,28, 0,    0, 1.678, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.0, 0.000, 0.000,13.1,
00:01:54, 775,  0, 36,  0, 98, 63, 39,  0,100, 69, 99, 743, 17,25, 0,    0, 1.648, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.0, 0.0, 0.000, 0.6, 0.000, 0.000,13.0,
00:01:54, 762,  0, 36,  0, 98, 63, 38,  0,100, 69, 99, 747, 16,26, 0,    0, 1.617, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.3, 0.000, 0.000,13.1,
00:01:54, 775,  0, 35,  0, 98, 63, 39,  0,100, 69, 99, 743, 17,25, 0,    0, 1.648, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.1, 0.0, 0.000, 0.0, 0.000, 0.000,13.1,
00:01:54, 787,  0, 36,  0, 98, 63, 39,  0,100, 69, 99, 747, 18,24, 0,    0, 1.648, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.0, 0.0, 0.000, 0.0, 0.000, 0.000,13.0,
00:01:54, 762,  0, 36,  0, 98, 63, 38,  0,100, 69, 99, 747, 16,26, 0,    0, 1.587, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.0, 0.0, 0.000, 0.3, 0.000, 0.000,13.0,
00:01:54, 762,  0, 36,  0, 98, 63, 39,  0,100, 69, 99, 747, 17,24, 0,    0, 1.648, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,12.9, 0.0, 0.000, 0.3, 0.000, 0.000,12.9,
00:01:54, 750,  0, 36,  0, 98, 63, 39,  0,100, 69, 99, 738, 17,28, 0,    0, 1.648, 0.00,  4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,P/N, 0,128,128,140, 32,12.0,13.0, 0.0, 0.000, 0.3, 0.000, 0.000,13.0,
