Tune Datalog export of DL
Tune file: Race map for Sunday - TPS disabled4.bin
Total Frames: 7976
Duration :00:04:59.547
Frame,Duration,RPM,VSS(kmh),Gear,MAP(mBar),Boost(psi),PA(mBar),TPS(%),TPS Voltage(v),INJ Duration(ms),INJ Duty(%),Fuel Value,IGN Table(degrees),IGN Final(degrees),ECT(C),IAT(C),A/F Ratio,D14(v),BAT Voltage(v),ELD Voltage(v),MAP Voltage(v),MIL
0,281.816,1816,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.75,25.50,88,55,15.36,2.78,13.96,4.57,0.33,OFF
1,0.02,1792,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.25,25.00,88,55,15.74,2.94,13.77,4.55,0.33,OFF
2,0.117,1797,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.50,25.25,88,55,15.19,2.71,13.77,4.55,0.33,OFF
3,0.224,1804,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.50,25.25,88,55,16.08,3.08,13.96,4.57,0.33,OFF
4,0.275,1804,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,24.50,25.25,88,55,16.08,3.08,13.87,4.55,0.31,OFF
5,0.308,1808,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,24.50,25.25,88,55,16.08,3.08,14.06,4.55,0.31,OFF
6,0.357,1811,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.50,25.25,88,55,14.95,2.61,14.06,4.57,0.33,OFF
7,0.387,1808,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.50,25.25,88,55,15.55,2.86,14.06,4.55,0.33,OFF
8,0.434,1813,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,24.50,25.50,88,55,16.22,3.14,13.87,4.57,0.31,OFF
9,0.48,1809,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,24.50,25.25,88,55,15.36,2.78,13.87,4.57,0.31,OFF
10,0.53,1813,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.75,25.50,88,55,15.89,3.00,14.06,4.57,0.33,OFF
11,0.561,1813,0,0,295,0,4082,0,0.47,0.41,1.00,129.00,24.75,25.50,88,55,15.55,2.86,13.87,4.57,0.31,OFF
12,0.612,1799,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,24.50,25.25,88,55,15.93,3.02,13.87,4.55,0.31,OFF
13,0.643,1804,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,24.50,25.25,88,55,15.41,2.80,13.87,4.57,0.31,OFF
14,0.691,1794,0,0,311,0,4082,0,0.47,0.41,1.00,129.50,24.25,25.00,88,55,15.19,2.71,13.87,4.57,0.33,OFF
15,0.725,1787,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,24.25,25.00,88,55,16.08,3.08,13.87,4.57,0.31,OFF
16,0.77,1797,0,0,311,0,4082,0,0.47,0.41,1.00,129.50,24.50,25.25,88,55,15.74,2.94,13.87,4.55,0.33,OFF
17,0.803,1795,0,0,311,0,4082,0,0.47,0.41,1.00,129.50,24.25,25.00,88,55,16.13,3.10,13.96,4.55,0.33,OFF
18,0.852,1789,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,15.55,2.86,13.96,4.55,0.33,OFF
19,0.881,1792,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,16.03,3.06,13.96,4.55,0.33,OFF
20,0.914,1789,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,24.25,25.00,88,55,15.45,2.82,13.87,4.55,0.31,OFF
21,0.961,1795,0,0,311,0,4082,0,0.47,0.41,1.00,129.50,24.25,25.00,88,55,16.08,3.08,13.87,4.57,0.33,OFF
22,1.008,1789,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,15.36,2.78,13.96,4.55,0.33,OFF
23,1.041,1789,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,15.93,3.02,13.96,4.57,0.33,OFF
24,1.062,1785,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,16.22,3.14,13.96,4.55,0.33,OFF
25,1.093,1795,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,16.08,3.08,13.96,4.55,0.33,OFF
26,1.127,1770,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.00,24.75,88,55,15.93,3.02,13.96,4.57,0.31,OFF
