#Encoding: UTF-8
#Ecu CALID: 
#Ecu PRGID: 7616431
#VIN: REDACTED
Time,Amb pressure (Bar),Accel Ped. Pos. (%),Boost (Bar),Boost target (Bar),Coolant (*C),Cyl1 Timing Cor (*),Cyl2 Timing Cor (*),Cyl3 Timing Cor (*),Cyl4 Timing Cor (*),Cyl5 Timing Cor (*),Cyl6 Timing Cor (*),Fuel low pressure sensor (Bar),Gear (-),IAT (*C),Lambda bank 1 (AFR),Lambda bank 2 (AFR),Load actual,Load req.,MAF Req (wgdc) (g/s),Rail pressure (Bar),RPM (RPM),STFT 1 (%),STFT 2 (%),Throttle Position,Timing Cyl. 1 (*CRK),Torque actual value (Nm),Torque Lim. active,WGDC After PID (%),WGDC Bank 1 (%),WGDC Base Value (%),MHD 5.26 IJE0S ST2V7.bin
539.607,1.008,16.1,-0.479,0,89,-0,-0,-0,-0,-0,-0,4.925,2,35,15.16,14.17,31.8,32.9,15,52.314,1346,0,5.7,5.5,21.4,109.9,0,2.7,18.2,2.6,0
539.742,1.008,16.4,-0.466,0,89,-0,-0,-0,-0,-0,-0,4.951,2,35,15.16,13.81,32.5,33.7,15.5,52.324,1356,0,5.1,5.6,21.8,112.4,0,2.8,18.3,2.6,0
539.867,1.008,16.4,-0.455,0,89,-0,-0,-0,-0,-0,-0,4.975,2,35,15.16,13.68,33.2,34.4,16.1,52.186,1372,0,2.7,5.9,22.5,116.1,0,2.8,18.3,2.7,0
539.996,1.008,16.7,-0.438,0,89,-0,-0,-0,-0,-0,-0,4.951,2,35,15.16,13.97,34,35.1,16.7,52.038,1395,0,3.8,6,22.5,119.4,0,2.9,18.4,2.7,0
540.129,1.008,17,-0.424,0,89,-0,-0,-0,-0,-0,-0,4.938,2,35,15.16,14.17,34.5,35.7,17.2,51.587,1410,0,3.4,6.1,23.2,122,0,2.9,18.4,2.8,0
540.258,1.008,17,-0.407,0,89,-0,-0,-0,-0,-0,-0,4.938,2,35,15.16,14.17,34.9,35.9,17.6,51.396,1429,0,2.9,6.3,23.6,123.7,0,3,18.4,2.8,0
540.392,1.008,17,-0.397,0,89,-0,-0,-0,-0,-0,-0,4.951,2,35,15.16,14.14,34.9,35.9,17.8,51.735,1444,0,1.8,6.4,24,123.4,0,3,18.5,2.8,0
540.521,1.008,16.8,-0.382,0,89,-0,-0,-0,-0,-0,-0,4.975,2,35,15.16,14.34,34.9,36.2,18,51.762,1450,0,1.9,6.4,24,122.8,0,3,18.5,2.8,0
540.650,1.008,16.8,-0.362,0,89,-0,-0,-0,-0,-0,-0,4.938,2,35,15.16,14.54,35.1,36.5,18.3,51.13,1466,0,1.5,6.6,24,124.4,0,3,18.8,2.8,0
540.780,1.008,16.8,-0.342,0,89,-0,-0,-0,-0,-0,-0,4.938,2,35,15.16,14.76,35.8,36.7,18.7,50.515,1487,0,1.9,6.8,24.8,127.3,0,2.9,18.8,2.8,0
