Time, Marker, RPM, Sync status, Lost sync count, Injector duty, MAP Raw, MAP, TPS Raw, TPS, Primary Load, Secondary Load, O2 Raw, O2 Val, Coolant temperature Raw, Coolant temperature, Intake Air Temp. Raw, Intake Air Temp., Battery Voltage Raw, Battery Voltage, ADC Spare Raw 1, ADC Spare Raw 2, Pedal Pos Raw 1, Pedal Pos Raw 2, Throttle Plate Pos Raw 1, Throttle Plate Pos Raw 2, Accelerator Delta, Idle RPM Error, Airflow Est., Fuelfow Est., Water Injection Status, Current Dwell, Ign. Adv. Base Table Output, Ign. Adv. Add. Base Table Output, Ign. Adv. Knock Mod, Ignition CLT Add, Ignition IAT Add, Ign. Adv. Sec. Load Mod, Ign. Adv. Limiter Mod, Ign. Adv. ALS, AC Ctrl Adv Add, Spark Scatter Adv Add, Current Target AFR, Base VE Output, Add. Base VE Output, AE VE Added, Total VE, Base PW, Fuel CLT Mod, Fuel IAT Mod, Fuel Idle Duty Mod, Fuel Sec. Load Mod, Fuel Knock Mod, Fuel Cranking Mod, Fuel ASE Mod, Fuel Limiter Mod, Fuel Lambda Mod, Overrun Mod, Inj. Dead Time, Internal IAT Mod, AC Ctrl Mod, Cranking Fuel Mod, After-Start Fuel Mod, After-Start Decay Time, After-Start Decay Time Left, Priming Pulse, AE Trim Raw, AE RPM Clamp Trim, AE VE Trim, AE Captured Delta, AE CLT Trim, MAP Delta, TPS Delta, Hard Cut RPM Limit, Primary Fan Status, Secondary Fan Status, Table Spark Scatter Adv, Table PWM Idle, Target RPM, Idle Status, Idle PWM Duty, Idle P Comp., Idle I Comp., Idle D Comp., Target RPM Error, Batt V PWM Trim, Knock Acc. Lvl. Raw, Knock CLT Scaling, Knock Acc. Lvl., Knock Lvl. Rel., Knock Reading, Knock Status, Knock Cyl 1 Window Start, Boost Open Loop Duty, Boost Target MAP, Boost Closed Loop Init Duty, Boost Status, Final Boost PWM Duty, Boost P Comp., Boost I Comp., Boost D Comp., Boost Target Error MAP, Boost Target Gear Clamp, Alternator Ctrl. Status, Alternator Ctrl. Duty, Alt. P Comp., Alt. I Comp., Ethanol Content, Fuel Temperature, Flex Fuel - Base Comp., Flex Fuel - Aux Comp., Main - Base VE, Main - Target AFR, Main - Base Ign. Adv, Main - Boost OL Duty, Main - Boost CL Target MAP, Main - Primming Pulse, Main - Cranking Trim, Main - Idle OL Duty, Main - ASE Trim, Aux - Base VE, Aux - Target AFR, Aux - Base Ign. Adv, Aux - Boost OL Duty, Aux - Boost CL Target MAP, Aux - Primming Pulse, Aux - Cranking Trim, Aux - Idle OL Duty, Aux - ASE Trim, WBO2 Curr. AFR, AFR Error, WB LTT Trim, Lambda Status, LTT Status, LTT Conf. Lvl., LTT Store Tmr., DBW Status, DBW Sens. Status, Calc. Pedal Pos., DBW PWM Duty, P Comp., I Comp, D Comp, Target TPPS Err., Target TPPS, Throttle Pos. 1, Throttle Pos. 2, Pedal Pos. 1, Pedal Pos. 2, AC Status, Veh. speed, Current Gear, Calc. Veh. Speed, Overrun Status, VICS Status, Purge Valve Status, Cylinder Trim 1, Cylinder Trim 2, Cylinder Trim 3, Cylinder Trim 4, LC Status, ALS Status, LC/ALS Switch Status, VVT Status, VVT Duty, CAM Curr. Adv., CAM Target Adv., VVT P Comp., VVT I Comp., Sel. Map Boost, Sel. Map Ign., Sel. Map Inj., Table OL Duty 1, Table OL Duty 2, Table CL Target 1, Table CL Target 2, Table Ign Adv. Base 1, Table Ign Adv. Base 2, Table Inj. VE Base 1, Table Inj. VE Base 2, DL Status, DL - Seconds left in log, DL - Switch status, Ignition Adv. Angle (Final), Ignition Dwell, Injection Angle, Injector Pulse Width, Crank IRQs, CAM IRQs, Debug 1, Debug 2, Debug 3, Debug 4, Inj Max Duty Count, Trigger - Filtered IRQs, Btn 1 Raw, Btn 1 Val, Btn 2 Raw, Btn 2 Val, Btn 3 Raw, Btn 3 Val, Dummy
0.06,0,989.00,2.00,3.00,0.65,5186.00,23.76,5906.00,0.00,23.76,0.00,19767.00,1.51,5746.00,79.00,30877.00,28.00,30566.00,13.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.07,0.99,0.00,3.00,15.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-5.00,14.90,71.00,0.00,2.70,73.70,0.79,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.15,0.98,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.04,9.00,1.00,0.00,0.00,7200.00,0.00,0.00,-5.00,32.67,950.00,5.00,30.49,0.00,0.67,0.00,39.00,1.00,6000.00,6010.74,6010.00,0.00,0.00,1.00,530.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,3.00,40.00,0.00,0.00,0.00,-81.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.89,3.01,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,31.90,20.12,20.00,0.00,0.27,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.59,3.00,360.00,1.95,66293.00,24859.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00
0.11,0,989.00,2.00,3.00,0.65,5186.00,23.76,5906.00,0.00,23.76,0.00,19767.00,1.51,5746.00,79.00,30877.00,28.00,30566.00,13.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.07,0.99,0.00,3.00,15.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-5.00,14.90,71.00,0.00,2.70,73.70,0.79,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.15,0.98,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.04,9.00,1.00,0.00,0.00,7200.00,0.00,0.00,-5.00,32.67,950.00,5.00,30.49,0.00,0.67,0.00,39.00,1.00,6000.00,6010.74,6010.00,0.00,0.00,1.00,530.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,3.00,40.00,0.00,0.00,0.00,-81.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.89,3.01,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,31.90,20.12,20.00,0.00,0.27,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.59,3.00,360.00,1.95,66293.00,24859.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00
0.16,0,993.00,2.00,3.00,0.63,5228.00,23.77,5932.00,0.00,23.77,0.00,19371.00,1.48,5727.00,80.00,30814.00,28.00,30128.00,13.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.97,0.96,0.00,3.00,15.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-5.00,14.90,71.00,0.00,0.00,71.00,0.76,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.19,0.98,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,1.00,0.00,0.00,7200.00,0.00,0.00,-5.00,32.65,950.00,5.00,30.48,0.00,0.67,0.00,43.00,1.00,6000.00,6000.00,6000.00,0.00,0.00,1.00,530.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,3.00,40.00,0.00,0.00,0.00,-81.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.80,3.10,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,31.90,20.16,20.00,0.00,0.27,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.44,3.00,360.00,1.95,66299.00,24861.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00
0.20,0,993.00,2.00,3.00,0.63,5228.00,23.77,5932.00,0.00,23.77,0.00,19371.00,1.48,5727.00,80.00,30814.00,28.00,30128.00,13.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.97,0.96,0.00,3.00,15.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-5.00,14.90,71.00,0.00,0.00,71.00,0.76,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.19,0.98,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,1.00,0.00,0.00,7200.00,0.00,0.00,-5.00,32.65,950.00,5.00,30.48,0.00,0.67,0.00,43.00,1.00,6000.00,6000.00,6000.00,0.00,0.00,1.00,530.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,3.00,40.00,0.00,0.00,0.00,-81.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.80,3.10,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,31.90,20.16,20.00,0.00,0.27,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.44,3.00,360.00,1.95,66299.00,24861.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00
0.25,0,997.00,2.00,3.00,0.63,5224.00,23.78,5906.00,0.00,23.78,0.00,19332.00,1.47,5733.00,79.00,30826.00,28.00,30428.00,13.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.99,0.96,0.00,3.00,15.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-5.00,14.90,71.00,0.00,0.00,71.00,0.76,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.16,0.98,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,1.00,0.00,0.00,7200.00,0.00,0.00,-5.00,32.66,950.00,5.00,30.47,0.00,0.67,0.00,47.00,1.00,6000.00,6002.53,6002.00,0.00,0.00,1.00,530.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,3.00,20.00,0.00,0.00,0.00,-81.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.79,3.11,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,31.93,19.96,20.00,0.00,0.27,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.25,3.00,360.00,1.93,66305.00,24864.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00
0.30,0,997.00,2.00,3.00,0.63,5224.00,23.78,5906.00,0.00,23.78,0.00,19332.00,1.47,5733.00,79.00,30826.00,28.00,30428.00,13.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.99,0.96,0.00,3.00,15.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-5.00,14.90,71.00,0.00,0.00,71.00,0.76,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.16,0.98,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,1.00,0.00,0.00,7200.00,0.00,0.00,-5.00,32.66,950.00,5.00,30.47,0.00,0.67,0.00,47.00,1.00,6000.00,6002.53,6002.00,0.00,0.00,1.00,530.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,3.00,20.00,0.00,0.00,0.00,-81.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.79,3.11,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,31.93,19.96,20.00,0.00,0.27,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.25,3.00,360.00,1.93,66305.00,24864.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00
0.35,0,1002.00,2.00,3.00,0.64,5190.00,23.82,5907.00,0.00,23.82,0.00,19248.00,1.47,5708.00,80.00,30916.00,28.00,30312.00,13.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.01,0.97,0.00,3.00,15.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-5.00,14.90,71.00,0.00,0.00,71.00,0.76,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.17,0.98,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,1.00,0.00,0.00,7200.00,0.00,0.00,-5.00,32.63,950.00,5.00,30.46,0.00,0.67,0.00,52.00,1.00,6000.00,6000.00,6000.00,0.00,0.00,1.00,530.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,3.00,30.00,0.00,0.00,0.00,-81.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.77,3.13,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,31.89,20.18,20.00,0.00,0.27,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,3.00,360.00,1.94,66312.00,24867.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00
0.39,0,1002.00,2.00,3.00,0.64,5190.00,23.82,5907.00,0.00,23.82,0.00,19248.00,1.47,5708.00,80.00,30916.00,28.00,30312.00,13.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.01,0.97,0.00,3.00,15.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-5.00,14.90,71.00,0.00,0.00,71.00,0.76,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.17,0.98,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,1.00,0.00,0.00,7200.00,0.00,0.00,-5.00,32.63,950.00,5.00,30.46,0.00,0.67,0.00,52.00,1.00,6000.00,6000.00,6000.00,0.00,0.00,1.00,530.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,3.00,30.00,0.00,0.00,0.00,-81.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.77,3.13,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,31.89,20.18,20.00,0.00,0.27,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,3.00,360.00,1.94,66312.00,24867.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00
0.44,0,1003.00,2.00,3.00,0.64,5231.00,23.84,5936.00,0.00,23.84,0.00,19259.00,1.47,5729.00,80.00,30838.00,28.00,30317.00,13.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.01,0.97,0.00,3.00,15.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-5.00,14.90,71.00,0.00,0.00,71.00,0.77,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.17,0.98,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,1.00,0.00,0.00,7200.00,0.00,0.00,-5.00,32.65,950.00,5.00,30.45,0.00,0.67,0.00,53.00,1.00,6000.00,6000.00,6000.00,0.00,0.00,1.00,530.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,3.00,60.00,0.00,0.00,0.00,-81.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.77,3.13,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,31.89,20.18,20.00,0.00,0.27,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.01,3.00,360.00,1.94,66319.00,24868.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00
0.49,0,1003.00,2.00,3.00,0.64,5231.00,23.84,5936.00,0.00,23.84,0.00,19259.00,1.47,5729.00,80.00,30838.00,28.00,30317.00,13.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.01,0.97,0.00,3.00,15.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-5.00,14.90,71.00,0.00,0.00,71.00,0.77,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.17,0.98,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,1.00,0.00,0.00,7200.00,0.00,0.00,-5.00,32.65,950.00,5.00,30.45,0.00,0.67,0.00,53.00,1.00,6000.00,6000.00,6000.00,0.00,0.00,1.00,530.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,3.00,60.00,0.00,0.00,0.00,-81.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.77,3.13,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,31.89,20.18,20.00,0.00,0.27,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.01,3.00,360.00,1.94,66319.00,24868.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00
