# StartTime = 08/11/2026 01:11:43.6990 PM
Time (sec), Short term fuel % trim - Bank 1 (%), Long term fuel % trim - Bank 1 (%), Engine RPM (RPM), Ignition timing advance for #1 cylinder (deg), O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 1), Absolute load value (%), Knocking Retard (deg)
0.000,0,0,0,0,0,0,0
0.913,1.5625,0,0,0,0,0,0
1.643,1.5625,10.9375,795,8.5,1.0060425,18.82353,0
2.472,1.5625,10.9375,802.25,7,1.0050665,18.82353,0
3.172,1.5625,10.9375,797.25,10.5,0.99979,18.431372,0
3.335,0.78125,10.9375,807,11,0.997106,18.039215,0
3.555,0.78125,10.9375,802,8.5,0.99308,18.039215,0
3.872,0.78125,10.9375,796.5,8,0.995642,18.431372,0
4.509,0.78125,10.9375,789,11.5,0.994483,18.039215,0
4.673,0.78125,10.9375,796.75,12,0.9980515,18.039215,0
5.130,0.78125,10.9375,793,12.5,0.9986615,17.647058,0
6.187,0,10.9375,785.5,11.5,0.9968315,18.431372,0
6.862,0.78125,10.9375,795,8.5,1.008879,18.82353,0
7.639,1.5625,10.9375,807,7,0.996374,18.431372,0
7.770,0,10.9375,809.25,10.5,0.9974415,18.431372,0
7.896,0.78125,10.9375,797.25,9,0.9996985,18.431372,0
8.108,0.78125,10.9375,786,11.5,0.9982345,18.431372,0
8.266,0.78125,10.9375,795.75,11.5,0.9981125,18.431372,0
8.820,0.78125,10.9375,800.75,12,1.001315,18.039215,0
9.499,0.78125,10.9375,801,12.5,0.9970145,18.82353,0
10.187,0,10.9375,796,9,1.001254,18.431372,0
11.167,1.5625,10.9375,798.75,12.5,0.9994545,18.431372,0
11.868,1.5625,10.9375,805.25,9,0.997838,18.431372,0
12.421,0,10.9375,789,9.5,1.0003085,18.431372,0
12.916,0.78125,10.9375,795.75,7.5,0.9942695,18.431372,0
13.352,0.78125,10.9375,801,11,1.0004915,18.039215,0
13.670,0.78125,10.9375,797,9,0.994056,18.431372,0
13.981,0,10.9375,788.5,8,0.997655,18.431372,0
14.648,0.78125,10.9375,792.5,8,0.9992105,18.431372,0
15.259,0.78125,10.9375,799.75,9,0.9982955,18.039215,0
15.771,0.78125,10.9375,802.75,9,0.99918,18.039215,0
16.930,0.78125,10.9375,790.5,12.5,0.9977465,18.039215,0
17.088,0.78125,10.9375,790.5,12.5,0.9982955,17.647058,0
17.245,0.78125,10.9375,784.5,9.5,1.001864,18.039215,0
17.447,0.78125,10.9375,788.25,9,0.9998205,18.039215,0
17.651,0.78125,10.9375,787.25,13,1.001559,18.039215,0
17.997,0.78125,10.9375,785.25,10,1.0038465,18.431372,0
18.110,0.78125,10.9375,782,8.5,1.002169,18.431372,0
18.298,0.78125,10.9375,790,12,1.002718,18.431372,0
18.415,0.78125,10.9375,787.5,8,1.0035415,18.431372,0
18.629,1.5625,10.9375,796.25,11,0.999851,18.82353,0
18.764,1.5625,10.9375,800.5,7.5,1.003572,18.431372,0
18.907,1.5625,10.9375,800.5,7.5,1.003572,18.431372,0
19.027,1.5625,10.9375,789.75,11.5,1.006622,18.039215,0
19.194,1.5625,10.9375,797.5,11.5,1.001925,18.431372,0
19.298,0.78125,10.9375,792,11,0.9968925,18.431372,0
19.496,0.78125,10.9375,802,11,0.997716,18.431372,0
19.651,0.78125,10.9375,784.5,13,0.9964045,17.647058,0
19.803,0.78125,10.9375,798.75,8.5,0.996618,18.039215,0
19.951,0.78125,10.9375,791,11.5,0.9978075,18.431372,0
20.118,0.78125,10.9375,798.5,8.5,0.9975025,18.039215,0
20.290,0,10.9375,797.5,9.5,0.999607,18.431372,0
20.486,0,10.9375,793.25,8.5,0.9992105,18.431372,0
20.653,0,10.9375,798,9.5,0.9964655,18.431372,0
20.777,0,10.9375,794,8,0.99735,18.431372,0
20.946,0,10.9375,804.5,9.5,0.997167,18.039215,0
21.067,0.78125,10.9375,799.75,8,0.998021,18.039215,0
21.266,0,10.9375,801.75,10,0.9961605,18.039215,0
21.421,0,10.9375,794.5,8.5,0.995886,18.039215,0
21.598,0,10.9375,806.75,10.5,0.9959775,18.039215,0
21.716,0,10.9375,792.75,8.5,0.992897,17.647058,0
21.880,0,10.9375,788,9,0.989054,18.039215,0
22.015,0,10.9375,788,9,0.989054,18.039215,0
22.146,0,10.9375,794,11.5,0.9958555,17.647058,0
22.264,0,10.9375,791,8.5,0.9884745,18.039215,0
22.470,-1.5625,10.9375,788,12.5,0.9937815,17.647058,0
22.598,0.78125,10.9375,790.25,9,0.9949405,18.039215,0
22.866,0,10.9375,787.75,11.5,1.0006135,17.647058,0
23.086,0.78125,10.9375,790.25,9.5,1.000217,18.039215,0
23.298,0.78125,10.9375,791,8.5,1.000461,18.039215,0
23.501,0.78125,10.9375,790.75,11.5,1.0034195,17.647058,0
24.102,-2.34375,14.0625,789.25,9.5,1.0066525,18.039215,0
24.855,-2.34375,14.0625,789.25,9.5,1.0066525,18.039215,0
25.386,-3.125,14.0625,797.75,10.5,0.9985395,18.039215,0
25.783,-3.125,14.0625,790.25,7.5,0.9976855,18.431372,0
25.920,-2.34375,14.0625,790.25,8.5,0.999363,17.647058,0
26.037,-2.34375,14.0625,793,9,1.00162,18.039215,0
26.239,-2.34375,14.0625,802,9.5,1.000339,17.647058,0
26.378,-2.34375,14.0625,799.25,9,1.003816,18.039215,0
26.547,-3.125,14.0625,790.5,11,0.998082,17.647058,0
26.777,-3.125,14.0625,780.5,9.5,0.998265,18.039215,0
26.939,-2.34375,14.0625,783,8,0.9960995,17.647058,0
27.158,-2.34375,14.0625,783,8,0.995215,17.647058,0
27.297,-2.34375,14.0625,784.5,8.5,1.0007966,18.039215,0
27.453,-2.34375,14.0625,790.75,12.5,0.999424,17.647058,0
27.608,-2.34375,14.0625,784.5,8.5,0.9989055,18.039215,0
27.762,-3.125,14.0625,788.75,11.5,0.9996375,17.647058,0
27.873,-2.34375,14.0625,789.5,9,1.001559,18.039215,0
28.031,-2.34375,14.0625,790.5,11.5,1.0021995,17.647058,0
28.160,-2.34375,14.0625,789.25,8,0.998143,18.039215,0
28.454,-3.125,14.0625,779.5,12.5,0.99613,17.647058,0
28.870,-2.34375,14.0625,781.75,8.5,1.0014675,18.039215,0
29.472,-2.34375,14.0625,781.75,8.5,1.0014675,18.039215,0
30.408,-2.34375,14.0625,792,10,0.998814,18.431372,0
30.676,-3.125,14.0625,789.5,11.5,0.9976855,18.039215,0
30.784,-3.125,14.0625,781.75,12,1.002169,18.431372,0
30.959,-1.5625,14.0625,787.75,7.5,1.0025655,18.82353,0
31.073,-2.34375,14.0625,788.5,9.5,1.009001,18.82353,0
31.260,-1.5625,14.0625,796,7,1.0095805,18.82353,0
31.429,-2.34375,14.0625,789.25,9,1.0056765,18.431372,0
31.603,-2.34375,14.0625,787.75,7.5,0.9991495,18.82353,0
31.761,7.03125,4.6875,846.5,27,0.9986005,21.960785,0
31.904,7.03125,4.6875,929.5,6.5,1.002535,26.666666,0
32.022,7.03125,4.6875,961.25,-4,0.9965265,22.745098,0
32.160,-3.125,14.0625,873.5,14,0.986431,20.392157,0
32.275,-3.90625,14.0625,859,14,0.9796905,18.039215,0
32.467,-4.6875,14.0625,833,8.5,0.9666365,18.82353,0
32.581,-5.46875,14.0625,797.5,4.5,0.9555955,18.431372,0
32.761,3.125,4.6875,847.25,30.5,0.94794,19.607843,0
32.895,3.125,4.6875,931.25,18,0.961726,27.450981,0
33.177,7.03125,4.6875,996.5,-9,0.99674,25.09804,0
33.406,2.34375,4.6875,887.75,7.5,0.962824,16.078432,0
33.626,2.34375,4.6875,887.75,7.5,0.962824,16.078432,0
33.804,1.5625,4.6875,1136.25,-1.5,0.949221,35.294117,0
33.983,4.6875,4.6875,1225,-12.5,0.9537655,31.764706,0
34.099,-8.59375,14.0625,1078,-6,0.9647455,23.137255,0
34.349,-8.59375,14.0625,1042,2,0.9641965,18.039215,0
34.568,-9.375,14.0625,1029,7.5,0.9643795,16.470589,0
34.754,0,4.6875,1116.5,17.5,0.964471,29.019608,0
34.932,1.5625,4.6875,1492.5,-9.5,0.968497,39.215687,0
35.079,-2.34375,4.6875,1426.5,-6.5,0.967704,28.62745,0
35.377,-9.375,14.0625,1176.75,8,1.001742,16.078432,0
35.546,-9.375,14.0625,1176.75,8,1.001742,16.078432,0
35.733,-8.59375,14.0625,1079.75,6.5,1.016443,16.862745,0
35.866,-7.03125,14.0625,1057,8.5,1.0494745,16.862745,0
36.166,5.46875,4.6875,1053.25,36,1.0825975,16.862745,0
36.338,5.46875,4.6875,1663.5,-4,0.9321105,49.80392,0
36.462,-1.5625,4.6875,1814.25,3.5,0.968253,38.431374,0
36.640,0,4.6875,1591,26,1.0375185,28.235294,0
36.773,0,4.6875,1339.75,25.5,1.905335,19.607843,0
36.894,0,14.0625,1170,3,1.9988174,16.470589,0
37.024,0,4.6875,1202.75,16,1.9988174,17.254902,0
37.172,0,4.6875,1202.75,16,1.9988174,17.254902,0
37.280,0,4.6875,1341.75,8.5,1.7928205,40.39216,0
37.463,0,4.6875,2048,-5,0.8824565,73.72549,0
37.574,0,3.90625,2389.75,-5,0.8882515,52.156864,0
37.680,0,4.6875,2294,25,0.9402235,29.019608,0
37.869,0,4.6875,2101.75,33,1.4091,18.82353,0
38.020,0,14.0625,1937.25,27.5,1.9988174,14.509804,0
38.162,0,14.0625,1629.75,34.5,1.9988174,15.294118,0
38.358,0,14.0625,1408,36.5,1.9988174,16.470589,0
38.501,0,4.6875,1233.5,35.5,1.9988174,15.686275,0
38.616,0,4.6875,1304,31,1.9988174,25.882353,0
38.761,0,4.6875,1503.75,17.5,1.818166,35.686275,0
38.906,0,4.6875,1890.25,3,0.943121,39.60784,0
39.022,0,4.6875,1889.5,11,0.885354,33.333332,0
39.165,0,4.6875,1697.5,25.5,0.949526,26.27451,0
39.299,0,4.6875,1511.5,26,1.3548405,19.607843,0
39.441,0,14.0625,1371.25,30.5,1.9326324,16.862745,0
39.636,0,14.0625,1253.25,3.5,1.9988174,16.078432,0
39.988,0,14.0625,1216.25,4.5,1.9988174,15.686275,0
40.190,0,14.0625,1163.25,3.5,1.030534,16.078432,0
40.345,0,14.0625,1163.25,3.5,1.030534,16.078432,0
40.494,0,14.0625,1123.75,3,0.967338,16.470589,0
40.619,0,14.0625,1105.75,4.5,0.941596,16.470589,0
40.786,0,14.0625,1072.75,4.5,0.9279015,16.862745,0
40.904,-0.78125,14.0625,1064,4.5,0.9133835,16.470589,0
41.072,-0.78125,14.0625,1032.25,4.5,0.9042945,16.470589,0
41.182,-1.5625,14.0625,1013,5.5,0.902312,16.862745,0
41.286,-1.5625,14.0625,983.25,5,0.897432,16.862745,0
41.460,-1.5625,14.0625,960.5,5,0.89426,16.470589,0
41.580,-1.5625,14.0625,904.25,4,0.8958765,16.470589,0
41.758,-1.5625,14.0625,904.25,4,0.8958765,16.470589,0
41.881,-1.5625,14.0625,861.25,4.5,0.8947175,16.862745,0
42.048,-1.5625,14.0625,827.5,8.5,0.8922165,16.470589,0
42.165,-2.34375,14.0625,805.25,8,0.895785,17.254902,0
42.335,-5.46875,14.0625,792.25,5,0.902251,17.647058,0
42.455,-5.46875,14.0625,762.5,5,0.912865,18.431372,0
42.603,-5.46875,14.0625,751,5,0.921954,18.039215,0
42.707,-5.46875,14.0625,760.5,10.5,0.931836,18.039215,0
42.912,-5.46875,14.0625,746.25,7,0.9443715,18.431372,0
43.066,-3.125,14.0625,765,4.5,0.983442,19.607843,0
43.264,-3.125,14.0625,765,4.5,0.983442,19.607843,0
43.415,-3.125,14.0625,771.5,4.5,0.999485,19.607843,0
43.599,-2.34375,14.0625,771,4.5,1.009916,19.607843,0
43.706,-1.5625,14.0625,765,9,1.0192795,18.82353,0
43.960,-2.34375,14.0625,780.5,9,1.020713,18.039215,0
44.355,0,14.0625,778.25,8.5,1.0110445,18.431372,0
44.623,-4.6875,14.0625,780.5,6.5,0.996191,18.431372,0
44.873,-3.90625,14.0625,773.25,9,0.990701,18.039215,0
45.256,-3.90625,14.0625,770,7,0.992897,18.431372,0
46.126,-3.125,14.0625,779,9.5,1.0016505,18.431372,0
46.639,-3.125,14.0625,779,9.5,1.0016505,18.431372,0
46.815,-3.125,14.0625,774.25,7,0.9995155,18.431372,0
46.963,-3.125,14.0625,774.25,8,0.998265,18.039215,0
47.141,-3.125,14.0625,768.5,7.5,0.9979295,18.039215,0
47.375,-3.125,14.0625,773,8.5,1.0032974,18.431372,0
47.496,-2.34375,14.0625,765.75,7,1.0036635,18.431372,0
47.612,-2.34375,14.0625,775.25,6.5,1.0093975,18.431372,0
47.786,-2.34375,14.0625,771,8.5,1.006744,18.039215,0
47.915,-1.5625,14.0625,767,7.5,1.006927,18.431372,0
48.132,-2.34375,14.0625,775.5,7.5,1.0067745,18.431372,0
48.330,-2.34375,14.0625,770.75,7,1.0025045,18.431372,0
48.457,-3.125,14.0625,770.5,8.5,0.9984175,18.039215,0
48.600,-3.125,14.0625,771.75,7,0.997045,18.431372,0
48.702,-3.125,14.0625,767.75,7,0.9973805,18.431372,0
48.891,-2.34375,14.0625,760.25,8.5,0.9954895,18.431372,0
48.999,-2.34375,14.0625,768.75,8.5,0.9974415,18.82353,0
49.115,-2.34375,14.0625,766.75,6,0.9971365,18.82353,0
49.362,-3.125,14.0625,761.5,7,0.9990885,18.82353,0
49.569,-3.125,14.0625,768.25,9,1.001742,18.431372,0
49.678,-3.125,14.0625,751.75,10.5,1.0037855,18.431372,0
49.795,-2.34375,14.0625,767.75,7,1.0061646,18.82353,0
49.978,-2.34375,14.0625,769,7,1.014064,19.215687,0
50.180,-1.5625,14.0625,765.25,5.5,1.008086,18.82353,0
50.316,-1.5625,14.0625,778.75,7.5,1.0064085,19.215687,0
50.477,-3.90625,14.0625,761.5,7,1.01016,18.82353,0
50.685,-2.34375,14.0625,760.25,7,1.0026875,18.82353,0
50.833,-2.34375,14.0625,760.25,7,1.0026875,18.82353,0
51.036,-2.34375,14.0625,765.5,6.5,0.9996375,19.215687,0
51.152,-2.34375,14.0625,771,6,1.0054935,18.82353,0
51.334,-1.5625,14.0625,773,6,1.00528,18.82353,0
51.693,-2.34375,14.0625,771.25,6.5,0.9956115,18.82353,0
51.793,-1.5625,14.0625,772.75,5.5,1.0075065,18.82353,0
51.979,-1.5625,14.0625,775,6,1.002413,18.82353,0
52.081,-2.34375,14.0625,764.75,5.5,0.999363,18.82353,0
52.215,-2.34375,14.0625,774.25,8,1.0041515,18.431372,0
52.361,-2.34375,14.0625,771.75,6,1.001498,18.431372,0
52.513,-2.34375,14.0625,771.75,6,1.001498,18.431372,0
52.632,-2.34375,14.0625,771.5,6,0.9976245,18.431372,0
52.786,-2.34375,14.0625,763.75,8,0.999546,18.431372,0
52.879,-1.5625,14.0625,762,8,0.9996985,18.431372,0
53.005,-2.34375,14.0625,769,7,0.9968315,18.82353,0
53.185,-2.34375,14.0625,781.5,7.5,0.995886,18.82353,0
53.312,-2.34375,14.0625,768,6.5,0.9981125,18.82353,0
53.467,-3.125,14.0625,785.75,9.5,0.995459,18.431372,0
53.578,-3.125,14.0625,778.25,5,0.994666,18.82353,0
53.785,-1.5625,14.0625,786.25,5.5,0.9982345,18.431372,0
53.921,-1.5625,14.0625,786.25,5.5,0.9982345,18.431372,0
54.062,-2.34375,14.0625,783.25,10,0.9991495,17.647058,0
54.179,-2.34375,14.0625,784,8,0.9960385,18.039215,0
54.313,-3.125,14.0625,774,9,0.9978685,18.039215,0
54.476,-2.34375,14.0625,776.75,8.5,0.995947,18.039215,0
54.696,-2.34375,14.0625,777.75,8.5,0.996557,18.431372,0
54.813,-2.34375,14.0625,773,7,0.995154,18.431372,0
55.001,-3.125,14.0625,773.25,11.5,0.9965875,18.039215,0
55.120,-2.34375,14.0625,776.25,6,0.9975025,18.431372,0
55.331,-3.125,14.0625,778,8.5,0.9996985,18.431372,0
55.538,-3.125,14.0625,778,8.5,0.9996985,18.431372,0
55.722,-2.34375,14.0625,771.5,8,1.0018336,18.431372,0
55.860,-2.34375,14.0625,769.25,7,0.99857,18.431372,0
56.166,-2.34375,14.0625,770.75,6.5,0.99979,18.82353,0
56.404,-2.34375,14.0625,771,8,0.996862,18.431372,0
56.517,-1.5625,14.0625,771,5.5,1.0001864,18.431372,0
56.664,7.03125,4.6875,813.25,25,1.003877,21.568628,0
56.784,7.03125,4.6875,905.75,6,1.0003695,29.411764,0
56.882,7.03125,4.6875,1049.5,3,1.0007966,30.19608,0
57.167,2.34375,4.6875,1045,-6.5,0.9804225,25.09804,0
57.363,2.34375,4.6875,913,11,0.9430905,16.862745,0
57.496,-7.8125,14.0625,858,14.5,0.937265,16.078432,0
57.667,1.5625,4.6875,877.5,32,0.934886,17.647058,0
